"Topgun",337974
"Jack Daniel",200786
"Mad Max",190910
"Harry Potter",188584
"Dumbledore",104400
"Norman Bates",103100
"James Bond",102160
"Quickgun M",90600
"Sam",84600
"Popeye",79650
